transition(MB),memory(MB),memory(MB),memory(GB),memory(GB)
3.75,219.3514496,226.4440832,0.21935145,0.226444083
3.76,219.4792448,226.2130688,0.219479245,0.226213069
3.77,227.9399424,226.2130688,0.227939942,0.226213069
3.78,227.9653376,226.2089728,0.227965338,0.226208973
3.79,228.2242048,226.2073344,0.228224205,0.226207334
3.8,228.3790336,226.2040576,0.228379034,0.226204058
3.81,228.564992,226.1983232,0.228564992,0.226198323
3.82,228.880384,226.2827008,0.228880384,0.226282701
3.83,229.2867072,226.3334912,0.229286707,0.226333491
3.84,229.7438208,226.7316224,0.229743821,0.226731622
3.85,230.4294912,227.4525184,0.230429491,0.227452518
3.86,230.9963776,227.8719488,0.230996378,0.227871949
3.87,231.5116544,227.1977472,0.231511654,0.227197747
3.88,231.5534336,227.1993856,0.231553434,0.227199386
3.89,231.7344768,227.1952896,0.231734477,0.22719529
3.9,231.7983744,227.1911936,0.231798374,0.227191194
3.91,231.7901824,227.1870976,0.231790182,0.227187098
3.92,231.7819904,227.1821824,0.23178199,0.227182182
3.93,231.7737984,227.4902016,0.231773798,0.227490202
3.94,231.7672448,227.7695488,0.231767245,0.227769549
3.95,231.7647872,228.2627072,0.231764787,0.228262707
3.96,231.7574144,228.8369664,0.231757414,0.228836966
3.97,231.7541376,229.1458048,0.231754138,0.229145805
3.98,231.7492224,229.1458048,0.231749222,0.229145805
3.99,231.7410304,229.1458048,0.23174103,0.229145805
4,231.7312,228.7296512,0.2317312,0.228729651
4.01,231.7221888,228.7132672,0.231722189,0.228713267
4.02,231.7139968,228.72064,0.231713997,0.22872064
4.03,231.706624,228.7296512,0.231706624,0.228729651
4.04,231.6992512,228.7296512,0.231699251,0.228729651
4.05,231.6951552,228.7263744,0.231695155,0.228726374
4.06,231.6771328,228.72064,0.231677133,0.22872064
4.07,231.6705792,228.9319936,0.231670579,0.228931994
4.08,231.7991936,229.2752384,0.231799194,0.229275238
4.09,232.0564224,229.7839616,0.232056422,0.229783962
4.1,232.7150592,230.3991808,0.232715059,0.230399181
4.11,233.3630464,230.7842048,0.233363046,0.230784205
4.12,233.8750464,230.3500288,0.233875046,0.230350029
4.13,234.4402944,230.3598592,0.234440294,0.230359859
4.14,235.1120384,230.3598592,0.235112038,0.230359859
4.15,235.6240384,230.3557632,0.235624038,0.230355763
4.16,236.1163776,230.3574016,0.236116378,0.230357402
4.17,236.29824,230.3533056,0.23629824,0.230353306
4.18,236.3949056,230.5916928,0.236394906,0.230591693
4.19,236.4342272,230.9808128,0.236434227,0.230980813
4.2,236.4809216,231.5739136,0.236480922,0.231573914
4.21,236.5267968,232.189952,0.236526797,0.232189952
4.22,236.5210624,232.6151168,0.236521062,0.232615117
4.23,236.5628416,232.5979136,0.236562842,0.232597914
4.24,236.5571072,232.6028288,0.236557107,0.232602829
4.25,236.548096,232.5962752,0.236548096,0.232596275
4.26,236.5407232,232.587264,0.236540723,0.232587264
4.27,236.5325312,232.5807104,0.236532531,0.23258071
4.28,236.5284352,232.574976,0.236528435,0.232574976
4.29,236.52352,232.57088,0.23652352,0.23257088
4.3,236.52352,233.0484736,0.23652352,0.233048474
4.31,236.5161472,233.5227904,0.236516147,0.23352279
4.32,236.5087744,234.2387712,0.236508774,0.234238771
4.33,236.4981248,234.5541632,0.236498125,0.234554163
4.34,236.490752,234.5590784,0.236490752,0.234559078
4.35,236.4817408,234.5558016,0.236481741,0.234555802
4.36,236.5210624,234.549248,0.236521062,0.234549248
4.37,236.597248,234.5476096,0.236597248,0.23454761
4.38,236.8372736,234.5435136,0.236837274,0.234543514
